target_id	label	sentence	gloss	target_index_start	target_index_end	sense_key
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	desire strongly or persistently	1	2	long%2:37:02::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	good at remembering	1	2	long%3:00:00::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified	1	2	long%3:00:01::
d000.s000.t000	1	How long has it been since you reviewed the objectives of your benefit and service program ?	primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified	1	2	long%3:00:02::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	(of speech sounds or syllables) of relatively long duration	1	2	long%3:00:04::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	holding securities or commodities in expectation of a rise in prices	1	2	long%3:00:05::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	for an extended time or at a distant time	1	2	long%4:02:00::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	for an extended distance	1	2	long%4:02:03::
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	having or being more than normal or necessary:"long on brains"	1	2	long%5:00:00:abundant:00
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	planning prudently for the future	1	2	long%5:00:00:provident:00
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	of relatively great height	1	2	long%5:00:00:tall:00
d000.s000.t000	0	How long has it been since you reviewed the objectives of your benefit and service program ?	involving substantial risk	1	2	long%5:00:00:unsound:00
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a light strong brittle grey toxic bivalent metallic element	4	5	be%1:27:00::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	spend or use time	4	5	be%2:40:00::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	work in a specific place, with a specific subject, or in a specific function	4	5	be%2:41:00::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	have an existence, be extant	4	5	be%2:42:00::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	have life, be alive	4	5	be%2:42:01::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	form or compose	4	5	be%2:42:02::
d000.s000.t001	1	How long has it been since you reviewed the objectives of your benefit and service program ?	have the quality of being; (copula, used with an adjective or a predicate noun)	4	5	be%2:42:03::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	happen, occur, take place; this was during the visit to my parents' house"	4	5	be%2:42:04::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	occupy a certain position or area; be somewhere	4	5	be%2:42:05::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	be identical to; be someone or something	4	5	be%2:42:06::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	be identical or equivalent to	4	5	be%2:42:07::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	represent, as of a character on stage	4	5	be%2:42:08::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	be priced at	4	5	be%2:42:09::
d000.s000.t001	0	How long has it been since you reviewed the objectives of your benefit and service program ?	to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form	4	5	be%2:42:13::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a subsequent examination of a patient for the purpose of monitoring earlier treatment	7	8	review%1:04:00::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	practice intended to polish performance or refresh the memory	7	8	review%1:04:01::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a formal or official examination	7	8	review%1:04:02::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	(law) a judicial reexamination of the proceedings of a court (especially by an appellate court)	7	8	review%1:04:03::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a new appraisal or evaluation	7	8	review%1:09:00::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a summary at the end that repeats the substance of a longer discussion	7	8	review%1:10:00::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	an essay or article that gives a critical evaluation (as of a book or play)	7	8	review%1:10:01::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a variety show with topical sketches and songs and dancing and comedians	7	8	review%1:10:02::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a periodical that publishes critical essays on current affairs or literature or art	7	8	review%1:10:03::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	(accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data	7	8	review%1:21:00::
d000.s000.t002	1	How long has it been since you reviewed the objectives of your benefit and service program ?	look at again; examine again	7	8	review%2:31:00::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	look back upon (a period of time, sequence of events); remember	7	8	review%2:31:01::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	hold a review (of troops)	7	8	review%2:31:02::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	refresh one's memory	7	8	review%2:31:04::
d000.s000.t002	0	How long has it been since you reviewed the objectives of your benefit and service program ?	appraise critically	7	8	review%2:32:00::
d000.s000.t003	0	How long has it been since you reviewed the objectives of your benefit and service program ?	the lens or system of lenses in a telescope or microscope that is nearest the object being viewed	9	10	objective%1:06:00::
d000.s000.t003	1	How long has it been since you reviewed the objectives of your benefit and service program ?	the goal intended to be attained (and which is believed to be attainable)	9	10	objective%1:09:00::
d000.s000.t003	0	How long has it been since you reviewed the objectives of your benefit and service program ?	undistorted by emotion or personal bias; based on observable phenomena	9	10	objective%3:00:00::
d000.s000.t003	0	How long has it been since you reviewed the objectives of your benefit and service program ?	serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes	9	10	objective%3:01:00::
d000.s000.t003	0	How long has it been since you reviewed the objectives of your benefit and service program ?	belonging to immediate experience of actual things or events	9	10	objective%5:00:00:concrete:00
d000.s000.t003	0	How long has it been since you reviewed the objectives of your benefit and service program ?	emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation	9	10	objective%5:00:00:real:00
d000.s000.t004	0	How long has it been since you reviewed the objectives of your benefit and service program ?	something that aids or promotes well-being	12	13	benefit%1:07:00::
d000.s000.t004	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a performance to raise money for a charitable cause	12	13	benefit%1:10:00::
d000.s000.t004	1	How long has it been since you reviewed the objectives of your benefit and service program ?	financial assistance in time of need	12	13	benefit%1:21:00::
d000.s000.t004	0	How long has it been since you reviewed the objectives of your benefit and service program ?	derive a benefit from	12	13	benefit%2:40:00::
d000.s000.t004	0	How long has it been since you reviewed the objectives of your benefit and service program ?	be beneficial for	12	13	benefit%2:40:01::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	an act of help or assistance	14	15	service%1:04:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	the act of public worship following prescribed rules	14	15	service%1:04:01::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	(sports) a stroke that puts the ball in play	14	15	service%1:04:02::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	the act of mating by male animals	14	15	service%1:04:03::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	the act of delivering a writ or summons upon someone	14	15	service%1:04:04::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	periodic maintenance on a car or machine	14	15	service%1:04:05::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	the performance of duties by a waiter or servant	14	15	service%1:04:06::
d000.s000.t005	1	How long has it been since you reviewed the objectives of your benefit and service program ?	employment in or work for another	14	15	service%1:04:07::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	work done by one person or group that benefits another	14	15	service%1:04:08::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	(law) the acts performed by an English feudal tenant for the benefit of his lord which formed the consideration for the property granted to him	14	15	service%1:04:09::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	tableware consisting of a complete set of articles (silver or dishware) for use at table	14	15	service%1:06:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a means of serving	14	15	service%1:07:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a force that is a branch of the armed forces	14	15	service%1:14:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a company or agency that performs a public service; subject to government regulation	14	15	service%1:14:05::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	Canadian writer (born in England) who wrote about life in the Yukon Territory (1874-1958)	14	15	service%1:18:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	make fit for use	14	15	service%2:30:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	mate with	14	15	service%2:35:00::
d000.s000.t005	0	How long has it been since you reviewed the objectives of your benefit and service program ?	be used by; as of a utility	14	15	service%2:41:00::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a performance (or series of performances) at a public presentation	15	16	program%1:04:00::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a series of steps to be carried out or goals to be accomplished	15	16	program%1:09:00::
d000.s000.t006	1	How long has it been since you reviewed the objectives of your benefit and service program ?	a system of projects or services intended to meet a public need	15	16	program%1:09:01::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	an announcement of the events that will occur as part of a theatrical or sporting event	15	16	program%1:10:00::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a radio or television show	15	16	program%1:10:01::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	(computer science) a sequence of instructions that a computer can interpret and execute	15	16	program%1:10:02::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	a document stating the aims and principles of a political party	15	16	program%1:10:04::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	an integrated course of academic studies	15	16	program%1:10:05::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	arrange a program of or for	15	16	program%2:32:00::
d000.s000.t006	0	How long has it been since you reviewed the objectives of your benefit and service program ?	write a computer program	15	16	program%2:36:00::
d000.s001.t000	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	the act of giving a formal (usually written) authorization	2	3	permit%1:04:00::
d000.s001.t000	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	large game fish; found in waters of the West Indies	2	3	permit%1:05:00::
d000.s001.t000	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a legal document giving official permission to do something	2	3	permit%1:10:02::
d000.s001.t000	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	consent to, give permission	2	3	permit%2:32:00::
d000.s001.t000	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	allow the presence of or allow (an activity) without opposing or prohibiting	2	3	permit%2:32:06::
d000.s001.t000	1	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	make it possible through a specific action or lack of action for something to happen	2	3	permit%2:41:00::
d000.s001.t001	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	enter or assume a certain state or condition	5	6	become%2:30:00::
d000.s001.t001	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	come into existence	5	6	become%2:42:00::
d000.s001.t001	1	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	undergo a change or development	5	6	become%2:42:01::
d000.s001.t001	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	enhance the appearance of	5	6	become%2:42:03::
d000.s001.t002	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	an unintentional disclosure	7	8	giveaway%1:10:00::
d000.s001.t002	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a television or radio program in which contestants compete for awards	7	8	giveaway%1:10:01::
d000.s001.t002	1	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a gift of public land or resources for the private gain of a limited group	7	8	giveaway%1:21:00::
d000.s001.t003	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a performance (or series of performances) at a public presentation	8	9	program%1:04:00::
d000.s001.t003	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a series of steps to be carried out or goals to be accomplished	8	9	program%1:09:00::
d000.s001.t003	1	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a system of projects or services intended to meet a public need	8	9	program%1:09:01::
d000.s001.t003	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	an announcement of the events that will occur as part of a theatrical or sporting event	8	9	program%1:10:00::
d000.s001.t003	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	a radio or television show	8	9	program%1:10:01::
d000.s001.t003	0	Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?	(computer science) a sequence of instructions that a computer can interpret and execute	8	9	program%1:10:02::
